ANT1,20.36,-0.78,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,17.38,4.80,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-7.58,3.46,0.00,10uF,PERFECT_0402_0402
C10,10.40,3.31,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,14.09,1.10,270.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,12.81,3.30,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,11.35,3.17,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,7.05,3.07,90.00,4.7uF,PERFECT_0402_0402
C15,10.22,4.30,0.00,1.0uF,PERFECT_0402_0402
C16,9.25,3.29,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,5.09,4.00,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,3.94,-1.10,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-11.82,-10.63,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,13.26,4.85,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-1.83,-4.74,180.00,4.7uF/25V,PERFECT_0402_0402
C20,7.83,-6.18,270.00,4.7uF,PERFECT_0402_0402
C21,6.32,-6.19,270.00,4.7uF,PERFECT_0402_0402
C22,15.80,1.43,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-10.01,16.32,180.00,0.1uF,GRM011R60J152KE01L_1_0201
C24,-11.32,15.41,180.00,10uF,PERFECT_0402_0402
C25,-11.30,14.33,0.00,22uF,PERFECT_0402_0402
C27,-6.03,9.02,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,11.13,-11.43,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,14.15,-1.41,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-10.39,-11.48,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C31,-0.13,-11.48,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,16.23,-7.68,0.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,-11.32,13.11,0.00,22uF,PERFECT_0402_0402
C34,16.33,-11.58,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,0.75,7.42,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C38,0.71,9.32,180.00,1uF,NORDIC_NRF_3_RESC0402_L
C39,0.72,8.35,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C4,14.94,-1.20,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,3.39,9.82,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,5.11,10.01,0.00,4.7uF,PERFECT_0402_0402
C5,5.77,1.24,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,5.06,-3.59,180.00,4.7uF,PERFECT_0402_0402
C7,10.24,-5.89,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,12.64,-6.00,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,14.23,-2.49,0.00,"820pF N.C.",NORDIC_NRF_3_RESC0201_L
D2,-7.05,-7.09,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,4.19,7.11,0.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-2.27,-7.00,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-6.11,-4.89,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-10.03,4.26,180.00,1uF/50V,PERFECT_0402_0402
EPD_C10,-10.00,-3.06,180.00,1uF/50V,PERFECT_0402_0402
EPD_C11,-9.94,-4.34,180.00,1uF/50V,PERFECT_0402_0402
EPD_C12,-10.72,-5.67,180.00,1uF/50V,PERFECT_0402_0402
EPD_C2,-9.98,5.46,180.00,1uF/50V,PERFECT_0402_0402
EPD_C5,-9.95,3.12,0.00,1uF/50V,PERFECT_0402_0402
EPD_C6,-10.01,1.94,180.00,1uF/50V,PERFECT_0402_0402
EPD_C7,-10.06,0.74,180.00,1uF/50V,PERFECT_0402_0402
EPD_C8,-10.06,-0.36,180.00,1uF/50V,PERFECT_0402_0402
EPD_C9,-10.06,-1.86,180.00,1uF/50V,PERFECT_0402_0402
IC1,-0.95,8.33,0.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,16.66,-9.43,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,-12.93,-8.95,0.00,BMA423,BMA423_BMA423
IC9,-9.05,14.33,0.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,-13.70,0.00,270.00,503480-2400,503480-2400_5034802400
J2,13.30,10.38,0.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,0.00,13.84,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,15.39,-0.10,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,8.04,3.18,90.00,10uH,NORDIC_NRF_2_RESC0402_L
L3,8.27,4.72,0.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,-5.38,-0.58,180.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,-6.58,14.22,270.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,16.75,-4.54,270.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,-7.48,5.53,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,-9.41,12.60,90.00,3K3,ERA-1AEB3401C_0201
R18,-8.71,12.02,90.00,3K3,ERA-1AEB3401C_0201
R1_EP_DR,-6.36,4.75,270.00,0.47,ERA-1AEB3401C_0201
R1_USB,2.23,9.32,270.00,5K1,CPF0201D7K68C1_0201
R2,-12.93,-10.68,0.00,0,ERA-1AEB3401C_0201
R2_EP_DR,-7.15,6.23,270.00,10K,ERA-1AEB3401C_0201
R2_USB,-1.59,10.32,90.00,5K1,CPF0201D7K68C1_0201
R3,-13.53,-10.68,180.00,0,CPF0201D7K68C1_0201
R4,-14.77,-9.28,270.00,0,ERA-1AEB3401C_0201
R5,-9.01,-11.56,180.00,10k,CPF0201D7K68C1_0201
R7,12.35,-11.28,180.00,10k,CPF0201D7K68C1_0201
R8,-1.39,-11.18,180.00,10k,CPF0201D7K68C1_0201
R9,-1.79,6.89,180.00,10K,ERA-1AEB3401C_0201
R_PWR_EPD,14.45,-4.48,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,-5.08,3.65,180.00,2.2,ERA-1AEB3401C_0201
SJ1,-2.87,4.14,180.00,0,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,-11.00,-14.13,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,-14.12,13.28,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,7.60,13.59,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-7.59,10.36,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,19.37,10.68,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,19.51,-11.17,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,19.59,-8.12,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,17.97,15.48,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,19.32,5.03,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,19.39,7.88,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,15.23,16.08,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,12.60,16.08,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,19.36,13.18,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-7.85,7.88,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-14.09,15.71,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,10.10,-1.13,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-3.81,8.41,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,15.25,4.13,180.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,4.00,1.51,90.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
